,Channel,Light_status,mean_sleep_per_ind,No,Sex,Rep
234,adj_Monitor63_ch18,Day,0.359259259259259,56014,F,1
235,adj_Monitor56_ch31,Day,0.654398148148148,62872,M,1
236,adj_Monitor58_ch30,Day,0.523842592592593,62872,F,1
237,adj_Monitor17_ch26,Day,0.706018518518518,82983,M,1
238,adj_Monitor18_ch20,Day,0.677083333333333,80387,M,1
239,adj_Monitor6_ch13,Day,0.459722222222222,53328,F,1
240,adj_Monitor54_ch21,Day,0.522916666666667,82983,F,1
241,adj_Monitor8_ch19,Day,0.629398148148148,56014,M,1
242,adj_Monitor2_ch8,Day,0.626388888888889,53328,M,1
243,adj_Monitor5_ch6,Day,0.574768518518519,80387,F,1
244,adj_Monitor20_ch6,Day,0.705787037037037,57713,M,1
245,adj_Monitor18_ch32,Day,0.785416666666667,80387,M,1
246,adj_Monitor67_ch14,Day,0.392361111111111,57713,F,1
247,adj_Monitor16_ch8,Day,0.70462962962963,67422,F,1
248,adj_Monitor77_ch29,Day,0.561111111111111,64498,F,1
249,adj_Monitor8_ch17,Day,0.550231481481481,56014,M,1
250,adj_Monitor59_ch4,Day,0.611574074074074,55690,F,1
251,adj_Monitor56_ch6,Day,0.514583333333333,62872,M,1
252,adj_Monitor8_ch11,Day,0.628009259259259,56014,M,1
253,adj_Monitor54_ch32,Day,0.458796296296296,82983,F,1
254,adj_Monitor60_ch31,Day,0.880787037037037,66945,M,1
255,adj_Monitor5_ch2,Day,0.684490740740741,80387,F,1
256,adj_Monitor56_ch21,Day,0.617824074074074,62872,M,1
257,adj_Monitor75_ch29,Day,0.748611111111111,55690,M,1
258,adj_Monitor16_ch11,Day,0.589351851851852,67422,F,1
259,adj_Monitor5_ch25,Day,0.633564814814815,80387,F,1
260,adj_Monitor16_ch21,Day,0.616666666666667,67422,F,1
261,adj_Monitor7_ch5,Day,0.462037037037037,TRiPsc,F,1
262,adj_Monitor6_ch4,Day,0.371759259259259,53328,F,1
263,adj_Monitor73_ch1,Day,0.609722222222222,57380,F,1
264,adj_Monitor24_ch12,Day,0.675231481481481,TRiPsc,M,1
265,adj_Monitor2_ch17,Day,0.628703703703704,53328,M,1
266,adj_Monitor24_ch29,Day,0.661111111111111,TRiPsc,M,1
267,adj_Monitor22_ch23,Day,0.706018518518518,64498,M,1
268,adj_Monitor77_ch26,Day,0.347222222222222,64498,F,1
269,adj_Monitor1_ch30,Day,0.835416666666667,67422,M,1
270,adj_Monitor1_ch24,Day,0.807638888888889,67422,M,1
271,adj_Monitor58_ch13,Day,0.493518518518519,62872,F,1
272,adj_Monitor24_ch3,Day,0.6875,TRiPsc,M,1
273,adj_Monitor18_ch4,Day,0.692824074074074,80387,M,1
274,adj_Monitor16_ch26,Day,0.380324074074074,67422,F,1
275,adj_Monitor60_ch18,Day,0.646990740740741,66945,M,1
276,adj_Monitor73_ch32,Day,0.561574074074074,57380,F,1
277,adj_Monitor63_ch3,Day,0.503703703703704,56014,F,1
278,adj_Monitor8_ch7,Day,0.518287037037037,56014,M,1
280,adj_Monitor63_ch30,Day,0.415277777777778,56014,F,1
281,adj_Monitor60_ch9,Day,0.854166666666667,66945,M,1
282,adj_Monitor56_ch1,Day,0.633564814814815,62872,M,1
283,adj_Monitor67_ch28,Day,0.60787037037037,57713,F,1
284,adj_Monitor56_ch23,Day,0.661111111111111,62872,M,1
285,adj_Monitor60_ch13,Day,0.646759259259259,66945,M,1
286,adj_Monitor77_ch2,Day,0.447916666666667,64498,F,1
287,adj_Monitor22_ch10,Day,0.551388888888889,64498,M,1
288,adj_Monitor77_ch9,Day,0.454861111111111,64498,F,1
289,adj_Monitor17_ch9,Day,0.737268518518518,82983,M,1
290,adj_Monitor73_ch5,Day,0.671064814814815,57380,F,1
291,adj_Monitor17_ch17,Day,0.578703703703704,82983,M,1
292,adj_Monitor54_ch24,Day,0.587037037037037,82983,F,1
293,adj_Monitor63_ch31,Day,0.534490740740741,56014,F,1
294,adj_Monitor72_ch22,Day,0.698148148148148,66945,F,1
295,adj_Monitor22_ch29,Day,0.671759259259259,64498,M,1
296,adj_Monitor6_ch18,Day,0.337268518518519,53328,F,1
