,Channel,bout_length,No,Sex,Rep
510,adj_Monitor2_ch14,9.0625,53328,M,1
512,adj_Monitor2_ch15,6.25,53328,M,1
514,adj_Monitor2_ch16,9.173913043478262,53328,M,1
516,adj_Monitor2_ch17,7.166666666666667,53328,M,1
518,adj_Monitor2_ch18,8.791666666666666,53328,M,1
520,adj_Monitor2_ch19,18.333333333333332,53328,M,1
522,adj_Monitor2_ch2,6.5,53328,M,1
524,adj_Monitor2_ch20,10.0,53328,M,1
526,adj_Monitor2_ch21,7.814814814814815,53328,M,1
528,adj_Monitor2_ch22,6.285714285714286,53328,M,1
530,adj_Monitor2_ch23,8.74074074074074,53328,M,1
532,adj_Monitor2_ch24,11.48,53328,M,1
534,adj_Monitor2_ch26,6.428571428571429,53328,M,1
536,adj_Monitor2_ch27,9.0,53328,M,1
538,adj_Monitor2_ch28,11.761904761904763,53328,M,1
540,adj_Monitor2_ch29,5.8,53328,M,1
542,adj_Monitor2_ch3,10.551724137931034,53328,M,1
544,adj_Monitor2_ch30,6.942857142857143,53328,M,1
546,adj_Monitor2_ch31,7.392857142857143,53328,M,1
548,adj_Monitor2_ch32,9.833333333333334,53328,M,1
550,adj_Monitor2_ch4,7.92,53328,M,1
552,adj_Monitor2_ch5,6.7272727272727275,53328,M,1
554,adj_Monitor2_ch6,7.212121212121212,53328,M,1
556,adj_Monitor2_ch7,9.345454545454546,53328,M,1
558,adj_Monitor2_ch8,7.071428571428571,53328,M,1
560,adj_Monitor2_ch9,9.976190476190476,53328,M,1
562,adj_Monitor54_ch10,10.789473684210526,82983,F,1
564,adj_Monitor54_ch11,33.55555555555556,82983,F,1
566,adj_Monitor54_ch12,18.516129032258064,82983,F,1
568,adj_Monitor54_ch13,10.214285714285714,82983,F,1
570,adj_Monitor54_ch14,8.4375,82983,F,1
572,adj_Monitor54_ch15,12.045454545454545,82983,F,1
574,adj_Monitor54_ch16,13.92156862745098,82983,F,1
576,adj_Monitor54_ch17,11.272727272727273,82983,F,1
578,adj_Monitor54_ch18,16.444444444444443,82983,F,1
580,adj_Monitor54_ch19,6.882352941176471,82983,F,1
