,Channel,bout_length,No,Sex,Rep
1112,adj_Monitor6_ch31,62.4,53328,F,1
1114,adj_Monitor6_ch32,96.97916666666667,53328,F,1
1116,adj_Monitor6_ch4,40.87931034482759,53328,F,1
1118,adj_Monitor6_ch5,77.38461538461539,53328,F,1
1120,adj_Monitor6_ch6,61.070422535211264,53328,F,1
1122,adj_Monitor6_ch7,91.1774193548387,53328,F,1
1124,adj_Monitor6_ch8,70.38095238095238,53328,F,1
1126,adj_Monitor6_ch9,106.90196078431373,53328,F,1
1128,adj_Monitor72_ch1,73.83333333333333,66945,F,1
1130,adj_Monitor72_ch10,68.2235294117647,66945,F,1
1132,adj_Monitor72_ch11,64.03157894736842,66945,F,1
1134,adj_Monitor72_ch12,101.08620689655173,66945,F,1
1136,adj_Monitor72_ch13,74.14814814814815,66945,F,1
1138,adj_Monitor72_ch14,65.53260869565217,66945,F,1
1140,adj_Monitor72_ch15,50.89320388349515,66945,F,1
1142,adj_Monitor72_ch16,108.265625,66945,F,1
1144,adj_Monitor72_ch17,120.84313725490196,66945,F,1
1146,adj_Monitor72_ch18,84.87692307692308,66945,F,1
1148,adj_Monitor72_ch19,75.98913043478261,66945,F,1
1150,adj_Monitor72_ch2,79.67901234567901,66945,F,1
1152,adj_Monitor72_ch20,72.9,66945,F,1
1154,adj_Monitor72_ch21,67.20689655172414,66945,F,1
1156,adj_Monitor72_ch22,117.3157894736842,66945,F,1
1158,adj_Monitor72_ch23,109.64615384615385,66945,F,1
1160,adj_Monitor72_ch24,74.4927536231884,66945,F,1
1162,adj_Monitor72_ch25,88.44444444444444,66945,F,1
1164,adj_Monitor72_ch26,63.79207920792079,66945,F,1
1166,adj_Monitor72_ch27,151.6304347826087,66945,F,1
1168,adj_Monitor72_ch28,109.66666666666667,66945,F,1
1170,adj_Monitor72_ch29,68.1547619047619,66945,F,1
1172,adj_Monitor72_ch3,53.78378378378378,66945,F,1
1174,adj_Monitor72_ch30,82.18518518518519,66945,F,1
1176,adj_Monitor72_ch31,64.66315789473684,66945,F,1
1178,adj_Monitor72_ch32,101.57627118644068,66945,F,1
1180,adj_Monitor72_ch4,136.06,66945,F,1
1182,adj_Monitor72_ch5,49.516949152542374,66945,F,1
1184,adj_Monitor72_ch6,77.81481481481481,66945,F,1
1186,adj_Monitor72_ch7,98.20338983050847,66945,F,1
1188,adj_Monitor72_ch8,72.4320987654321,66945,F,1
1190,adj_Monitor72_ch9,97.2542372881356,66945,F,1
1192,adj_Monitor73_ch1,101.79661016949153,57380,F,1
1194,adj_Monitor73_ch10,94.35211267605634,57380,F,1
1196,adj_Monitor73_ch11,62.422222222222224,57380,F,1
1198,adj_Monitor73_ch12,56.895833333333336,57380,F,1
1200,adj_Monitor73_ch13,151.66666666666666,57380,F,1
1202,adj_Monitor73_ch14,109.7258064516129,57380,F,1
1204,adj_Monitor73_ch15,64.12903225806451,57380,F,1
1206,adj_Monitor73_ch16,77.80263157894737,57380,F,1
1208,adj_Monitor73_ch17,60.160377358490564,57380,F,1
1210,adj_Monitor73_ch18,64.375,57380,F,1
1212,adj_Monitor73_ch19,91.76119402985074,57380,F,1
1214,adj_Monitor73_ch2,68.09574468085107,57380,F,1
1216,adj_Monitor73_ch20,115.34482758620689,57380,F,1
1218,adj_Monitor73_ch21,68.65,57380,F,1
1220,adj_Monitor73_ch22,91.46753246753246,57380,F,1
1222,adj_Monitor73_ch23,67.6082474226804,57380,F,1
1224,adj_Monitor73_ch24,87.95714285714286,57380,F,1
1226,adj_Monitor73_ch25,89.96875,57380,F,1
1228,adj_Monitor73_ch26,118.73584905660377,57380,F,1
1230,adj_Monitor73_ch27,68.85714285714286,57380,F,1
1232,adj_Monitor73_ch28,180.94871794871796,57380,F,1
1234,adj_Monitor73_ch29,67.41573033707866,57380,F,1
1236,adj_Monitor73_ch3,90.7051282051282,57380,F,1
