,Channel,bout_length,No,Sex,Rep
342,adj_Monitor20_ch22,80.5,57713,M,1
344,adj_Monitor20_ch23,70.02173913043478,57713,M,1
346,adj_Monitor20_ch24,72.19565217391305,57713,M,1
348,adj_Monitor20_ch25,151.66666666666666,57713,M,1
350,adj_Monitor20_ch26,321.75,57713,M,1
352,adj_Monitor20_ch27,178.8421052631579,57713,M,1
354,adj_Monitor20_ch29,317.0,57713,M,1
356,adj_Monitor20_ch3,76.41463414634147,57713,M,1
358,adj_Monitor20_ch30,179.89473684210526,57713,M,1
360,adj_Monitor20_ch31,109.70588235294117,57713,M,1
362,adj_Monitor20_ch32,164.95238095238096,57713,M,1
364,adj_Monitor20_ch4,154.42857142857142,57713,M,1
366,adj_Monitor20_ch5,131.68,57713,M,1
368,adj_Monitor20_ch6,170.3,57713,M,1
370,adj_Monitor20_ch7,42.93846153846154,57713,M,1
372,adj_Monitor20_ch8,35.69230769230769,57713,M,1
374,adj_Monitor20_ch9,192.8421052631579,57713,M,1
376,adj_Monitor22_ch1,201.8235294117647,64498,M,1
378,adj_Monitor22_ch10,67.73913043478261,64498,M,1
380,adj_Monitor22_ch11,153.0,64498,M,1
382,adj_Monitor22_ch12,101.96875,64498,M,1
384,adj_Monitor22_ch13,140.0,64498,M,1
386,adj_Monitor22_ch14,113.1923076923077,64498,M,1
388,adj_Monitor22_ch15,77.46511627906976,64498,M,1
390,adj_Monitor22_ch16,114.09677419354838,64498,M,1
392,adj_Monitor22_ch17,390.8888888888889,64498,M,1
394,adj_Monitor22_ch18,115.03448275862068,64498,M,1
396,adj_Monitor22_ch19,105.75675675675676,64498,M,1
398,adj_Monitor22_ch2,93.48484848484848,64498,M,1
400,adj_Monitor22_ch20,310.4166666666667,64498,M,1
402,adj_Monitor22_ch21,142.125,64498,M,1
404,adj_Monitor22_ch22,46.698412698412696,64498,M,1
406,adj_Monitor22_ch23,210.0,64498,M,1
408,adj_Monitor22_ch24,151.76190476190476,64498,M,1
410,adj_Monitor22_ch25,73.68085106382979,64498,M,1
412,adj_Monitor22_ch26,79.02325581395348,64498,M,1
414,adj_Monitor22_ch27,84.23255813953489,64498,M,1
416,adj_Monitor22_ch28,128.92592592592592,64498,M,1
418,adj_Monitor22_ch29,210.05555555555554,64498,M,1
420,adj_Monitor22_ch3,121.87096774193549,64498,M,1
422,adj_Monitor22_ch30,62.0188679245283,64498,M,1
424,adj_Monitor22_ch31,281.61538461538464,64498,M,1
426,adj_Monitor22_ch32,73.84444444444445,64498,M,1
428,adj_Monitor22_ch4,85.07894736842105,64498,M,1
430,adj_Monitor22_ch5,173.6086956521739,64498,M,1
432,adj_Monitor22_ch6,97.1,64498,M,1
434,adj_Monitor22_ch7,50.983333333333334,64498,M,1
436,adj_Monitor22_ch8,198.47368421052633,64498,M,1
438,adj_Monitor22_ch9,53.9,64498,M,1
440,adj_Monitor24_ch1,236.8,TRiPsc,M,1
442,adj_Monitor24_ch10,116.10344827586206,TRiPsc,M,1
444,adj_Monitor24_ch11,450.44444444444446,TRiPsc,M,1
446,adj_Monitor24_ch12,171.5625,TRiPsc,M,1
448,adj_Monitor24_ch13,593.3333333333334,TRiPsc,M,1
450,adj_Monitor24_ch14,192.72222222222223,TRiPsc,M,1
452,adj_Monitor24_ch15,440.25,TRiPsc,M,1
454,adj_Monitor24_ch16,825.2,TRiPsc,M,1
456,adj_Monitor24_ch17,96.3529411764706,TRiPsc,M,1
458,adj_Monitor24_ch18,216.66666666666666,TRiPsc,M,1
460,adj_Monitor24_ch19,392.3333333333333,TRiPsc,M,1
462,adj_Monitor24_ch20,192.5,TRiPsc,M,1
464,adj_Monitor24_ch21,173.4,TRiPsc,M,1
466,adj_Monitor24_ch22,431.22222222222223,TRiPsc,M,1
468,adj_Monitor24_ch23,269.2142857142857,TRiPsc,M,1
470,adj_Monitor24_ch24,272.9375,TRiPsc,M,1
472,adj_Monitor24_ch25,53.01587301587302,TRiPsc,M,1
474,adj_Monitor24_ch26,155.45454545454547,TRiPsc,M,1
476,adj_Monitor24_ch27,110.81818181818181,TRiPsc,M,1
478,adj_Monitor24_ch28,128.32142857142858,TRiPsc,M,1
480,adj_Monitor24_ch29,708.8,TRiPsc,M,1
482,adj_Monitor24_ch3,709.4,TRiPsc,M,1
484,adj_Monitor24_ch30,448.875,TRiPsc,M,1
486,adj_Monitor24_ch31,231.94117647058823,TRiPsc,M,1
488,adj_Monitor24_ch32,643.6666666666666,TRiPsc,M,1
490,adj_Monitor24_ch4,98.24324324324324,TRiPsc,M,1
492,adj_Monitor24_ch5,78.36,TRiPsc,M,1
494,adj_Monitor24_ch6,125.89655172413794,TRiPsc,M,1
496,adj_Monitor24_ch7,205.3684210526316,TRiPsc,M,1
498,adj_Monitor24_ch8,263.14285714285717,TRiPsc,M,1
500,adj_Monitor24_ch9,187.31578947368422,TRiPsc,M,1
502,adj_Monitor2_ch1,154.1904761904762,53328,M,1
504,adj_Monitor2_ch10,337.09090909090907,53328,M,1
506,adj_Monitor2_ch11,95.89473684210526,53328,M,1
508,adj_Monitor2_ch12,220.1875,53328,M,1
510,adj_Monitor2_ch13,118.7,53328,M,1
512,adj_Monitor2_ch14,149.53846153846155,53328,M,1
514,adj_Monitor2_ch15,118.6774193548387,53328,M,1
516,adj_Monitor2_ch16,93.7948717948718,53328,M,1
518,adj_Monitor2_ch17,172.04761904761904,53328,M,1
520,adj_Monitor2_ch18,155.66666666666666,53328,M,1
522,adj_Monitor2_ch19,320.6363636363636,53328,M,1
524,adj_Monitor2_ch2,203.41176470588235,53328,M,1
526,adj_Monitor2_ch20,190.16666666666666,53328,M,1
528,adj_Monitor2_ch21,66.03921568627452,53328,M,1
530,adj_Monitor2_ch22,92.30555555555556,53328,M,1
532,adj_Monitor2_ch23,136.6153846153846,53328,M,1
534,adj_Monitor2_ch24,92.65789473684211,53328,M,1
536,adj_Monitor2_ch26,117.85714285714286,53328,M,1
538,adj_Monitor2_ch27,399.44444444444446,53328,M,1
540,adj_Monitor2_ch28,215.6,53328,M,1
542,adj_Monitor2_ch29,143.875,53328,M,1
544,adj_Monitor2_ch3,92.84615384615384,53328,M,1
546,adj_Monitor2_ch30,101.37142857142857,53328,M,1
