,Channel,Bout_Count,No,Sex,Rep
19622,adj_Monitor17_ch14,12.166666666666666,82983,M,1
19820,adj_Monitor17_ch15,7.666666666666667,82983,M,1
19942,adj_Monitor17_ch16,13.666666666666666,82983,M,1
20168,adj_Monitor17_ch17,17.833333333333332,82983,M,1
20482,adj_Monitor17_ch18,5.666666666666667,82983,M,1
20582,adj_Monitor17_ch19,21.5,82983,M,1
20934,adj_Monitor17_ch2,14.166666666666666,82983,M,1
21188,adj_Monitor17_ch21,14.0,82983,M,1
21410,adj_Monitor17_ch22,18.333333333333332,82983,M,1
21744,adj_Monitor17_ch23,11.666666666666666,82983,M,1
21954,adj_Monitor17_ch24,15.166666666666666,82983,M,1
22198,adj_Monitor17_ch25,20.0,82983,M,1
22526,adj_Monitor17_ch26,13.666666666666666,82983,M,1
22768,adj_Monitor17_ch27,17.833333333333332,82983,M,1
23076,adj_Monitor17_ch28,14.166666666666666,82983,M,1
23314,adj_Monitor17_ch29,9.333333333333334,82983,M,1
23480,adj_Monitor17_ch3,17.833333333333332,82983,M,1
23796,adj_Monitor17_ch30,11.333333333333334,82983,M,1
23990,adj_Monitor17_ch31,22.166666666666668,82983,M,1
24360,adj_Monitor17_ch32,22.833333333333332,82983,M,1
24744,adj_Monitor17_ch4,18.0,82983,M,1
25082,adj_Monitor17_ch5,15.0,82983,M,1
25366,adj_Monitor17_ch6,13.0,82983,M,1
25594,adj_Monitor17_ch7,14.166666666666666,82983,M,1
25816,adj_Monitor17_ch8,12.833333333333334,82983,M,1
26008,adj_Monitor17_ch9,11.333333333333334,82983,M,1
26190,adj_Monitor18_ch1,15.0,80387,M,1
26424,adj_Monitor18_ch10,12.166666666666666,80387,M,1
26668,adj_Monitor18_ch11,14.666666666666666,80387,M,1
26924,adj_Monitor18_ch12,19.5,80387,M,1
27298,adj_Monitor18_ch13,16.166666666666668,80387,M,1
27556,adj_Monitor18_ch14,19.666666666666668,80387,M,1
27898,adj_Monitor18_ch15,10.833333333333334,80387,M,1
28092,adj_Monitor18_ch16,13.5,80387,M,1
28334,adj_Monitor18_ch17,17.333333333333332,80387,M,1
28644,adj_Monitor18_ch18,14.666666666666666,80387,M,1
28874,adj_Monitor18_ch19,15.5,80387,M,1
29150,adj_Monitor18_ch2,13.166666666666666,80387,M,1
29416,adj_Monitor18_ch20,20.666666666666668,80387,M,1
29776,adj_Monitor18_ch21,17.0,80387,M,1
30076,adj_Monitor18_ch22,18.0,80387,M,1
30378,adj_Monitor18_ch23,17.833333333333332,80387,M,1
30706,adj_Monitor18_ch24,12.666666666666666,80387,M,1
30914,adj_Monitor18_ch26,17.0,80387,M,1
31186,adj_Monitor18_ch27,16.0,80387,M,1
31456,adj_Monitor18_ch28,20.5,80387,M,1
31802,adj_Monitor18_ch29,17.166666666666668,80387,M,1
32096,adj_Monitor18_ch3,22.833333333333332,80387,M,1
32480,adj_Monitor18_ch30,17.5,80387,M,1
32808,adj_Monitor18_ch31,18.333333333333332,80387,M,1
33104,adj_Monitor18_ch32,13.833333333333334,80387,M,1
33330,adj_Monitor18_ch4,18.0,80387,M,1
33614,adj_Monitor18_ch5,14.666666666666666,80387,M,1
33850,adj_Monitor18_ch6,12.833333333333334,80387,M,1
34068,adj_Monitor18_ch7,14.666666666666666,80387,M,1
34320,adj_Monitor18_ch8,17.0,80387,M,1
34630,adj_Monitor18_ch9,14.666666666666666,80387,M,1
34885,adj_Monitor1_ch1,12.5,67422,M,1
35072,adj_Monitor1_ch11,18.833333333333332,67422,M,1
35362,adj_Monitor1_ch12,23.333333333333332,67422,M,1
35774,adj_Monitor1_ch13,14.833333333333334,67422,M,1
36012,adj_Monitor1_ch14,15.5,67422,M,1
36252,adj_Monitor1_ch15,12.666666666666666,67422,M,1
36472,adj_Monitor1_ch16,7.0,67422,M,1
36590,adj_Monitor1_ch17,13.833333333333334,67422,M,1
36790,adj_Monitor1_ch18,10.0,67422,M,1
36952,adj_Monitor1_ch19,13.666666666666666,67422,M,1
37186,adj_Monitor1_ch2,9.166666666666666,67422,M,1
37334,adj_Monitor1_ch20,12.5,67422,M,1
37534,adj_Monitor1_ch21,12.333333333333334,67422,M,1
37736,adj_Monitor1_ch22,10.5,67422,M,1
37902,adj_Monitor1_ch23,10.166666666666666,67422,M,1
38052,adj_Monitor1_ch24,16.5,67422,M,1
38318,adj_Monitor1_ch25,7.333333333333333,67422,M,1
38460,adj_Monitor1_ch26,23.166666666666668,67422,M,1
38800,adj_Monitor1_ch27,9.0,67422,M,1
38962,adj_Monitor1_ch28,17.666666666666668,67422,M,1
39272,adj_Monitor1_ch29,13.5,67422,M,1
39545,adj_Monitor1_ch3,17.166666666666668,67422,M,1
39870,adj_Monitor1_ch30,15.833333333333334,67422,M,1
40126,adj_Monitor1_ch31,20.666666666666668,67422,M,1
40470,adj_Monitor1_ch32,15.166666666666666,67422,M,1
40714,adj_Monitor1_ch4,25.166666666666668,67422,M,1
41118,adj_Monitor1_ch5,22.666666666666668,67422,M,1
41532,adj_Monitor1_ch6,11.5,67422,M,1
41706,adj_Monitor1_ch7,20.833333333333332,67422,M,1
42084,adj_Monitor1_ch8,9.833333333333334,67422,M,1
42238,adj_Monitor1_ch9,15.166666666666666,67422,M,1
